h31|380|	1.2855128740220097E8|0.0
h31|385|	1.3715053030473012E8|0.0
h31|390|	1.2507533393592477E8|0.0
h31|395|	1.2489724026755726E8|0.0
h31|400|	1.3681332179669258E8|0.0
h31|405|	1.3200788523298073E8|0.0
h31|40|	6.017822101143666E7|0.0
h31|410|	1.3345204864980218E8|292.0
h31|415|	1.4537870037705252E8|0.0
h31|420|	1.5934019479650843E8|0.0
h31|425|	1.4345555081476694E8|0.0
h31|430|	1.374524486248729E8|0.0
h31|435|	1.1930462845140581E8|0.0
h31|440|	1.2892460732681909E8|0.0
h31|445|	1.3915212263525966E8|0.0
h31|450|	1.1399619604596834E8|0.0
h31|455|	1.5857144893316436E8|0.0
h31|45|	6.214338714022267E7|0.0
h31|460|	1.5244664231641155E8|0.0
h31|465|	1.5187714369196174E8|0.0
h31|470|	1.2689883253127895E8|0.0
h31|475|	1.2580114686276919E8|0.0
h31|480|	1.4595587626562217E8|0.0
h31|485|	1.4017452776609558E8|0.0
h31|490|	1.4601270150600052E8|0.0
h31|495|	1.4713172411837894E8|0.0
h31|500|	1.5002871153307265E8|0.0
h31|505|	1.588628458153461E8|0.0
h31|50|	5.9212865112195194E7|0.0
h31|510|	1.3185632286080977E8|0.0
h31|515|	1.3590309042086774E8|0.0
h31|520|	1.3155626094201583E8|0.0
h31|525|	1.536036046865794E8|0.0
h31|530|	1.4183870156583005E8|0.0
h31|535|	1.538306757696498E8|0.0
h31|540|	1.2820008737477377E8|0.0
h31|545|	1.1656228743020135E8|0.0
h31|550|	1.1978628156572367E8|0.0
h31|555|	1.247684184085645E8|0.0
h31|55|	6.7116716907445E7|0.0
h31|560|	1.4241567536335775E8|299.0
h31|565|	1.0687769810670795E8|0.0
h31|570|	1.0699619121815486E8|0.0
h31|575|	1.162324243217176E8|0.0
h31|580|	9.940963567182656E7|0.0
h31|585|	9.912449371633233E7|0.0
h31|590|	1.0454530605234043E8|0.0
h31|595|	1.103728436240578E8|0.0
h31|5|	9.72172776273888E7|0.0
h31|600|	1.1148125291299513E8|0.0
h31|605|	1.0653884840281789E8|0.0
h31|60|	6.17656664891025E7|0.0
h31|610|	1.108359311651747E8|0.0
h31|615|	1.0482295293376146E8|0.0
h31|620|	1.2063600910181321E8|0.0
h31|625|	1.0929597199069797E8|0.0
h31|630|	1.097962647451646E8|0.0
h31|635|	1.1836836893028697E8|0.0
h31|640|	1.0837719650711888E8|0.0
h31|645|	1.0737378053370495E8|0.0
h31|650|	1.0720418331842318E8|0.0
h31|655|	1.2125486411956283E8|0.0
h31|65|	6.172988228690671E7|0.0
h31|660|	1.1415745312320514E8|0.0
h31|665|	1.1902663173443514E8|312.0
h31|670|	1.1877527903103827E8|0.0
h31|675|	1.1641748440614845E8|0.0
h31|680|	1.1795907741369371E8|0.0
h31|685|	1.2051366757001966E8|0.0
h31|690|	1.1643270461207727E8|0.0
h31|695|	1.2559862200217621E8|0.0
h31|700|	1.2259180903108211E8|0.0
h31|705|	1.2879558066963036E8|0.0
h31|70|	6.3703673033270225E7|0.0
h31|710|	1.2525200715245223E8|0.0
h31|715|	1.2863679314737213E8|0.0
h31|720|	1.2762054121082196E8|0.0
h31|725|	1.3052129724999721E8|0.0
h31|730|	1.272713985868321E8|0.0
h31|735|	1.3154030758942358E8|0.0
h31|740|	1.324132619031212E8|0.0
h31|745|	1.2719064797119918E8|0.0
h31|750|	1.367471236212493E8|0.0
h31|755|	1.3631591967587847E8|0.0
h31|75|	9.245755212358898E7|0.0
h31|760|	1.2820575480133191E8|0.0
h31|765|	1.2931643956824231E8|0.0
h31|770|	1.2603290013056108E8|0.0
h31|775|	1.2695556733884421E8|0.0
h31|780|	1.267705215019064E8|0.0
h31|785|	1.294208679117591E8|0.0
h31|790|	1.641377893027867E8|0.0
h31|795|	1.2868720716746388E8|0.0
h31|800|	1.1936536948641434E8|278.0
h31|805|	1.2500761496330251E8|0.0
h31|80|	6.70984335153204E7|0.0
h31|810|	1.1980431870784812E8|0.0
h31|815|	1.5167533154131648E8|0.0
h31|820|	1.6396495360838664E8|0.0
h31|825|	1.1629367714180289E8|0.0
h31|830|	1.430444778731294E8|0.0
h31|835|	1.5838436540981314E8|0.0
h31|840|	1.598072195001143E8|0.0
h31|845|	1.447780722951186E8|0.0
h31|850|	1.809577166129935E8|0.0
h31|855|	1.5505985864538375E8|0.0
h31|85|	1.1028609757165182E8|0.0
h31|860|	1.5402506261693665E8|0.0
h31|865|	1.4470317662693015E8|0.0
h31|870|	1.508489652810346E8|0.0
h31|875|	1.487474736632478E8|0.0
h31|880|	1.6418929310823908E8|0.0
h31|885|	1.61863578008262E8|0.0
h31|890|	2.000636224518232E8|0.0
h31|895|	1.8031889176562476E8|0.0
h31|900|	1.5550228725555336E8|0.0
h31|905|	1.6089882832503086E8|0.0
h31|90|	9.686552747730601E7|0.0
h31|910|	1.574686162228012E8|0.0
h31|915|	1.7064005285279748E8|0.0
h31|920|	1.525168917645752E8|0.0
h31|925|	1.312958395679496E8|0.0
h31|930|	1.282780396005683E8|0.0
h31|935|	1.4145429915882948E8|0.0
h31|940|	1.376511657361148E8|260.0
h31|945|	1.3946780932362953E8|0.0
h31|950|	1.3550987977152246E8|0.0
h31|955|	1.3722855320654368E8|0.0
h31|95|	1.104526668946478E8|0.0
h31|960|	1.311865186894725E8|0.0
h31|965|	1.3882074999726093E8|0.0
h31|970|	1.2584929887742122E8|0.0
h31|975|	1.528999956712762E8|0.0
h31|980|	1.351609372089652E8|0.0
h31|985|	1.3568479807659853E8|0.0
h31|990|	1.3908467947671437E8|0.0
h31|995|	1.2857603264957714E8|0.0
h52|0|	1.0364044266289303E8|0.0
h52|1000|	1.3490561732937106E8|0.0
h52|1005|	1.631872368558211E8|0.0
h52|100|	1.1090364864214014E8|0.0
h52|1010|	1.2432473423990947E8|0.0
h52|1015|	1.262670139946605E8|0.0
h52|1020|	1.3130566839778963E8|0.0
h52|1025|	1.285554696209668E8|0.0
h52|1030|	1.2283820042811371E8|265.0
h52|1035|	1.313536037156365E8|0.0
h52|1040|	1.3523781976942316E8|0.0
h52|1045|	1.58921820207993E8|0.0
h52|1050|	1.2619462334648398E8|0.0
h52|1055|	1.5616726778551266E8|0.0
h52|105|	1.2095447606313168E8|0.0
h52|1060|	1.4018285549872363E8|0.0
h52|1065|	1.503266826135357E8|0.0
h52|1070|	1.5090390044868448E8|0.0
h52|1075|	1.4196673359240648E8|0.0
h52|1080|	1.3343758540690216E8|0.0
h52|1085|	1.5892677415793648E8|0.0
h52|1090|	1.5917186677160442E8|0.0
h52|1095|	1.5388156185165152E8|0.0
h52|10|	8.772365065811372E7|0.0
h52|1100|	1.603104482961415E8|0.0
h52|1105|	1.6273203417945206E8|0.0
h52|110|	1.2255937832641256E8|0.0
h52|1110|	1.6402119556737262E8|0.0
h52|1115|	1.6553152509729236E8|0.0
h52|1120|	1.5888359230032235E8|0.0
h52|1125|	1.571474971578126E8|0.0
h52|1130|	1.6139416449501634E8|0.0
h52|1135|	1.6479035449643338E8|0.0
h52|1140|	1.625096151994188E8|0.0
h52|1145|	1.6160631352340457E8|0.0
h52|1150|	1.6687203240561375E8|0.0
h52|1155|	1.5891950993892002E8|0.0
h52|115|	1.24525065505374E8|0.0
h52|1160|	1.6335996245402256E8|0.0
h52|1165|	1.546527903244101E8|0.0
h52|1170|	1.513368207357808E8|0.0
h52|1175|	1.4627940444719473E8|0.0
h52|1180|	1.479302492005595E8|0.0
h52|1185|	1.6907941006993696E8|293.0
h52|1190|	1.7379152915879184E8|0.0
h52|1195|	1.721760651235304E8|273.0
h52|1200|	1.695661670641161E8|0.0
h52|1205|	1.605976886953612E8|0.0
h52|120|	1.241330087407161E8|0.0
h52|1210|	1.46935637231913E8|0.0
h52|1215|	1.4618918394947973E8|0.0
h52|1220|	1.4979791014820164E8|0.0
h52|1225|	1.4598430945898193E8|0.0
h52|1230|	1.2784087280325496E8|0.0
h52|1235|	1.2193870982837933E8|0.0
h52|1240|	1.2124296071981373E8|0.0
h52|1245|	1.557625004554611E8|0.0
h52|1250|	1.196229178031375E8|0.0
h52|1255|	1.3666939560491186E8|0.0
h52|125|	1.2580994765217564E8|0.0
h52|1260|	1.177807387168017E8|0.0
h52|1265|	1.1561016384102042E8|0.0
h52|1270|	1.1963389431138799E8|0.0
h52|1275|	1.1162879451361112E8|0.0
h52|1280|	1.1877907001553194E8|0.0
h52|1285|	1.1848927396593831E8|290.0
h52|1290|	1.2018129998474106E8|0.0
h52|1295|	1.1300549498751092E8|0.0
h52|1300|	1.1580711560064854E8|0.0
h52|1305|	1.0998048510023262E8|0.0
h52|130|	1.2786162149450976E8|0.0
h52|1310|	1.1574194854757826E8|0.0
h52|1315|	1.0908695078931133E8|0.0
h52|1320|	1.139238448834438E8|0.0
h52|1325|	1.1246508643867263E8|0.0
h52|1330|	1.0680474961216602E8|0.0
h52|1335|	1.159011252993104E8|0.0
h52|1340|	1.282198418389729E8|0.0
h52|1345|	9.63279079862733E7|0.0
h52|1350|	1.145240556379019E8|0.0
h52|1355|	9.584147119593465E7|0.0
h52|135|	1.2887009752056567E8|0.0
h52|1360|	1.1375165841700731E8|0.0
h52|1365|	1.1707988072426149E8|0.0
h52|1370|	1.010703411331941E8|0.0
h52|1375|	9.488099128902768E7|0.0
h52|1380|	9.394736894030273E7|0.0
h52|1385|	1.2213237737215546E8|0.0
h52|1390|	1.0932591295256507E8|0.0
h52|1395|	1.1878815098757634E8|0.0
h52|1400|	9.714838867742051E7|0.0
h52|1405|	9.136529557141294E7|0.0
h52|140|	1.1336355197043923E8|0.0
h52|1410|	9.641918184111339E7|318.0
h52|1415|	9.109080453449851E7|0.0
h52|1420|	1.0675658172436966E8|0.0
h52|1425|	1.0145400269445506E8|0.0
h52|1430|	8.81629759783965E7|0.0
h52|1435|	9.05131649113935E7|0.0
h52|145|	1.2164395824228716E8|0.0
h52|150|	1.0716562992991716E8|0.0
h52|155|	1.2341977644380996E8|0.0
h52|15|	1.0218015267257832E8|0.0
h52|160|	8.145913873222929E7|0.0
h52|165|	1.1910306945469242E8|0.0
h52|170|	9.426914123088764E7|0.0
h52|175|	9.411474448247655E7|307.0
h52|180|	8.893866547313623E7|0.0
h52|185|	7.652293666430831E7|0.0
